epoch,train_loss,sensitivity_metric,collapse_frac,macro_f1
25,0.2334177615967664,0.06392170686130089,0.9666666666666667,0.022727272727272728
50,0.21050609377297488,0.06187844741158955,1.0,0.0
75,0.19568486240777103,0.056874771287422486,1.0,0.0
100,0.18783506412397732,0.05292263333938924,0.9833333333333333,0.0
125,0.18303986029191452,0.04810805199962774,0.9333333333333333,0.043478260869565216
150,0.17983696745200592,0.04528440061477269,0.8666666666666667,0.07142857142857142
175,0.1782831217754971,0.04186891898711451,0.9333333333333333,0.020833333333333332
200,0.17783549766648898,0.041051640512677436,0.95,0.021739130434782608
