dataset_size,n_train_records,train_time_sec,peak_gpu_mem_gb,final_train_loss,accuracy,macro_f1,collapse_frac,n_generated
380,379,579.6560924053192,6.12745216,0.17783549766648898,0.016666666666666666,0.023214285714285715,0.94,300
1000,999,1508.3502023220062,6.192649216,0.13700343980904547,0.30666666666666664,0.21186819916152433,0.6133333333333333,300
2500,2500,3683.457941532135,6.124888064,0.1011145750586039,0.34,0.18215615921336875,0.8,300
5000,5000,7292.552843570709,6.192915456,0.0902793717642243,0.3433333333333333,0.14165796991762478,0.98,300
10000,9999,14548.828769922256,6.26004992,0.08035741275988328,0.37333333333333335,0.18310510732790525,0.9533333333333334,300
full,17418,39980.326567173004,6.124486656,0.07237188656376127,0.41333333333333333,0.23099875242215911,0.91,300
