epoch,train_loss,sensitivity_metric,collapse_frac,macro_f1
25,0.17696548759555206,0.0616949187371771,0.8666666666666667,0.14285714285714285
50,0.1340476001302401,0.06375956029673976,0.75,0.11309523809523808
75,0.11676580138886586,0.06215758027726669,0.43333333333333335,0.3238440303657695
100,0.10989577523790874,0.061120147285803714,0.6166666666666667,0.26345693779904306
125,0.10558921199005383,0.062088201484564405,0.65,0.15364775239498896
150,0.1029140237145699,0.06096305988844186,0.85,0.2082623948821132
175,0.10154330959686866,0.05851864701027438,0.8333333333333334,0.2172161172161172
200,0.1011145750586039,0.05955526907142908,0.7833333333333333,0.20959294436906378
